0.324104	0.0690696	0.513341	
0.319527	0.0510027	0.517353	
0.34112	0.0443559	0.517777	
0.331768	0.0750418	0.535907	
0.349733	0.0633774	0.519099	
0.341554	0.0803071	0.505587	
0.325471	0.0536377	0.546703	
0.33774	0.067427	0.547388	
0.341594	0.0603701	0.489944	
0.342829	0.0718896	0.491599	
0.459052	0.36308	0	
0.481663	0.364794	0.0263323	
0.482478	0.332833	0.021677	
0.45549	0.32394	0.0106611	
0.464878	0.333568	0.0422935	
0.428763	0.368514	0.026084	
0.439607	0.348242	0.0405216	
0.456143	0.386669	0.0339613	
0.472437	0.359826	0.0567322	
0.449195	0.365681	0.0558639	
0.426219	0.373525	0.0443756	
0.431704	0.381393	0.0425902	
0.423869	0.379595	0.0393459	
0.431279	0.38986	0.0224947	
0.12701	0.92968	0.375725	
0.122306	0.921007	0.35563	
0.158945	0.900591	0.358331	
0.13497	0.898385	0.384148	
0.166609	0.903382	0.378244	
0.168553	0.929691	0.359801	
0.175158	0.908651	0.342274	
0.120428	0.956085	0.35945	
0.172811	0.900776	0.360301	
0.148688	0.960344	0.358675	
0.177684	0.910196	0.353425	
0.152247	0.941882	0.341962	
0.0935518	0.927444	0.371887	
0.170563	0.916924	0.335235	
0.103072	0.941964	0.358165	
0.12755	0.953643	0.347368	
0.0985175	0.939455	0.367758	
0.353061	0.913304	0.638456	
0.326997	0.907649	0.633036	
0.343584	0.928349	0.610906	
0.373337	0.885006	0.624789	
0.325192	0.912238	0.604345	
0.331603	0.876762	0.623106	
0.358499	0.869796	0.60472	
0.374203	0.913874	0.628732	
0.370841	0.908983	0.639105	
0.371813	0.893609	0.59381	
0.341527	0.921972	0.594843	
0.38801	0.882741	0.59845	
0.351262	0.866972	0.637094	
0.385103	0.901817	0.608268	
0.386789	0.878232	0.597286	
0.312367	0.939328	0.613613	
0.382857	0.871809	0.596648	
0.224335	0.769043	0.767494	
0.247392	0.79575	0.77446	
0.212955	0.773534	0.773271	
0.229748	0.759269	0.788251	
0.236267	0.795472	0.784364	
0.255409	0.784404	0.790021	
0.207103	0.751805	0.788986	
0.235387	0.811239	0.762688	
0.253733	0.788684	0.794623	
0.208322	0.742721	0.78526	
0.255902	0.79735	0.788392	
0.207064	0.741369	0.777374	
0.242991	0.816276	0.765347	
0.740424	0.473722	1	
0.753533	0.471137	0.977408	
0.761672	0.475131	0.991576	
0.750375	0.497718	0.985349	
0.74597	0.488961	0.970424	
0.732865	0.47985	0.974901	
0.724931	0.484671	0.989957	
0.772917	0.489222	0.985031	
0.735669	0.454844	0.987811	
0.740747	0.451076	0.990883	
0.0606407	0.18339	0.743506	
0.0711548	0.187752	0.763451	
0.0683734	0.198031	0.75473	
0.0604037	0.167587	0.752624	
0.0494208	0.185468	0.760941	
0.0834509	0.173125	0.751921	
0.0760926	0.172318	0.741666	
0.0846146	0.182746	0.737278	
0.0486904	0.204631	0.765699	
0.0878	0.182529	0.742885	
0.790883	0.676933	0	
0.80715	0.69395	0.0272466	
0.787097	0.693149	0.0505837	
0.803323	0.7121	0.0459207	
0.809245	0.674466	0.0622676	
0.806383	0.665908	0.038574	
0.789996	0.706122	0.0210616	
0.791005	0.665186	0.046248	
0.780412	0.681668	0.0187952	
0.79493	0.66271	0.0263294	
0.786502	0.666768	0.00876246	
0.813055	0.662295	0.0619941	
0.806907	0.659749	0.0613076	
1	0.610371	0.268753	
0.966195	0.600497	0.282119	
0.985713	0.581538	0.275687	
0.982943	0.598587	0.248627	
0.96429	0.601704	0.256111	
0.985914	0.585856	0.297224	
0.981032	0.61553	0.252989	
0.975106	0.623	0.285246	
0.968127	0.609581	0.299675	
0.986325	0.608229	0.300717	
0.98179	0.625695	0.290914	
0.962892	0.61985	0.296623	
0.99888	0.616241	0.231078	
0.621991	0.519385	0.466159	
0.606684	0.486653	0.482056	
0.626351	0.508463	0.509942	
0.597477	0.510999	0.487716	
0.64067	0.498389	0.497206	
0.609407	0.485039	0.515688	
0.594238	0.481694	0.496922	
0.636447	0.531499	0.480363	
0.649407	0.522349	0.472604	
0.622733	0.476311	0.509019	
0.592992	0.516205	0.466933	
0.575861	0.49718	0.473105	
0.618298	0.540125	0.467362	
0.582308	0.48773	0.491848	
0.580653	0.499865	0.466413	
0.57561	0.492796	0.475066	
0.627277	0.540788	0.46303	
0.573846	0.493696	0.476725	
0.394743	0.878175	1	
0.405348	0.890722	0.954675	
0.375037	0.869319	0.93709	
0.378749	0.858758	0.957006	
0.388065	0.897892	0.986437	
0.370698	0.875989	0.981152	
0.403829	0.869087	0.99254	
0.367651	0.891994	0.943108	
0.383303	0.912926	0.956705	
0.353799	0.896437	0.968102	
0.360817	0.860818	0.937259	
0.355254	0.865054	0.954414	
0.353605	0.870894	0.947314	
0.358819	0.865683	0.937059	
0.345107	0.884874	0.95623	
0.915824	0.298861	0.624325	
0.93835	0.308328	0.620551	
0.934079	0.315456	0.643039	
0.912237	0.289985	0.647045	
0.896916	0.317804	0.642758	
0.938903	0.278924	0.643237	
0.920228	0.298169	0.658551	
0.920058	0.33804	0.631622	
0.93448	0.337654	0.614944	
0.911598	0.335108	0.612087	
0.887499	0.323829	0.618084	
0.946742	0.274558	0.637842	
0.936915	0.338836	0.62552	
0.928221	0.337349	0.603689	
0.0846903	0.197117	0.212813	
0.121293	0.198243	0.219842	
0.102496	0.193642	0.242946	
0.106762	0.214757	0.21003	
0.116527	0.199257	0.242584	
0.131243	0.18232	0.227556	
0.0934356	0.162681	0.204522	
0.0938442	0.218407	0.215902	
0.1045	0.192636	0.19115	
0.10291	0.169	0.245347	
0.0931341	0.214799	0.236297	
0.102939	0.16069	0.235021	
0.0916069	0.222046	0.186065	
0.120734	0.161317	0.21878	
0.121334	0.169936	0.243919	
0.077491	0.200273	0.179701	
0.0801844	0.220527	0.180299	
0.0769897	0.217863	0.177611	
0.592938	0.607307	1	
0.590563	0.626466	0.953372	
0.60509	0.607204	0.9591	
0.570966	0.619092	0.977457	
0.618453	0.644492	0.952192	
0.581778	0.645139	0.964791	
0.619273	0.606523	0.971259	
0.605993	0.64523	0.974336	
0.616531	0.600181	0.990169	
0.57916	0.645494	0.988343	
0.611192	0.578759	0.972017	
0.585175	0.582159	0.975569	
0.618837	0.577885	0.979856	
0.612229	0.574967	0.985505	
0.314379	0.469281	0.53935	
0.311341	0.503369	0.548615	
0.329198	0.470526	0.568799	
0.331203	0.493372	0.561348	
0.314399	0.497341	0.568373	
0.309139	0.45091	0.574326	
0.29555	0.471451	0.578363	
0.280498	0.495254	0.54881	
0.277804	0.487741	0.570517	
0.303898	0.441803	0.550977	
0.272946	0.467034	0.552547	
0.321658	0.442355	0.556197	
0.285233	0.447829	0.561868	
0.291551	0.445461	0.575443	
0.27505	0.456948	0.57487	
0.261958	0.484429	0.565956	
0.504007	0.522347	1	
0.479263	0.518823	0.986611	
0.496011	0.544402	0.972732	
0.46867	0.537648	0.963375	
0.478381	0.514622	0.968941	
0.505248	0.525476	0.968908	
0.491062	0.508407	0.974308	
0.513404	0.522905	0.988155	
0.514252	0.530657	0.992109	
0.489412	0.532977	0.956132	
0.500761	0.504265	0.992904	
0.503981	0.539244	0.956123	
0.905761	0.769329	0.293493	
0.942615	0.780608	0.307538	
0.953717	0.762045	0.297679	
0.924985	0.773813	0.261326	
0.939745	0.775931	0.33854	
0.925866	0.740232	0.294263	
0.914036	0.746463	0.328669	
0.895615	0.740344	0.303659	
0.887813	0.749569	0.279677	
0.905926	0.758184	0.262651	
0.942719	0.754114	0.259582	
0.924951	0.763388	0.342543	
0.902294	0.780712	0.254711	
0.942961	0.758051	0.336647	
0.893598	0.738949	0.283547	
0.887495	0.75649	0.2673	
0.956469	0.772813	0.336866	
0.472111	0.522666	1	
0.468952	0.556891	0.986679	
0.44977	0.529633	0.992701	
0.455719	0.541663	0.977416	
0.451624	0.562768	0.991787	
0.471991	0.496209	0.988639	
0.484007	0.494493	0.991157	
0.484415	0.492054	0.996235	
0.174587	0.0632709	0.859508	
0.212078	0.0692116	0.876503	
0.187122	0.0843511	0.891884	
0.163555	0.0633843	0.882197	
0.208274	0.0475073	0.858554	
0.156981	0.0841943	0.865253	
0.177771	0.0393551	0.874049	
0.19505	0.0365374	0.86051	
0.156135	0.0521257	0.867623	
0.195663	0.0676821	0.909617	
0.214698	0.0437614	0.881147	
0.202174	0.0435336	0.899638	
0.210865	0.0640766	0.911554	
0.204516	0.0809972	0.915282	
0.218951	0.0647097	0.905385	
0.224323	0.048051	0.900962	
0.370037	0.259814	0.115633	
0.358216	0.279852	0.100163	
0.393322	0.253485	0.102689	
0.385941	0.284496	0.0998031	
0.365039	0.26789	0.0741928	
0.369742	0.297303	0.120771	
0.368391	0.23959	0.0908994	
0.375413	0.236052	0.109305	
0.372231	0.299213	0.100526	
0.387951	0.238454	0.0949752	
0.379537	0.298979	0.091366	
0.376392	0.293223	0.080388	
0.388846	0.264852	0.0741896	
0.376386	0.283357	0.0706082	
0.40071	0.250072	0.0811073	
0.380995	0.244974	0.0708221	
0.391481	0.238042	0.0746849	
0.484341	0.36421	0.567106	
0.459264	0.359207	0.544865	
0.499403	0.344522	0.552449	
0.472219	0.361893	0.5316	
0.463137	0.379251	0.562059	
0.474799	0.385805	0.553742	
0.501096	0.377755	0.547958	
0.496846	0.382126	0.567941	
0.500815	0.352598	0.534572	
0.506244	0.367496	0.570477	
0.51545	0.34228	0.54907	
0.49783	0.339554	0.535978	
0.507492	0.388067	0.562468	
0.511828	0.35444	0.565057	
0.511485	0.374219	0.563585	
0.516606	0.353146	0.551392	
0.639608	1	0.338489	
0.62886	0.98221	0.31624	
0.666935	0.978028	0.331693	
0.601126	0.996494	0.321192	
0.669723	0.995358	0.303609	
0.61386	0.980628	0.356293	
0.659747	0.975223	0.361922	
0.64461	0.957952	0.349173	
0.639516	0.972359	0.365639	
0.609957	0.968236	0.336444	
0.635202	0.955292	0.335651	
0.667442	0.993024	0.369913	
0.59829	0.988756	0.33458	
0.642071	0.996854	0.380031	
0.626745	0.955622	0.347477	
0.635449	0.954269	0.348878	
0.598762	0.978338	0.341838	
0.22301	0.0329501	0.633325	
0.202421	0.0693883	0.641947	
0.223061	0.0441097	0.610626	
0.206207	0.0681709	0.609338	
0.187686	0.0611541	0.611771	
0.213209	0.0206591	0.602817	
0.223683	0.0622368	0.65757	
0.204996	0.0839629	0.63004	
0.186474	0.0209382	0.586133	
0.209694	0.0841579	0.625421	
0.235169	0.0723173	0.634476	
0.244283	0.04975	0.646131	
0.183673	0.0323736	0.592909	
0.219241	0.0824311	0.648976	
0.252646	0.0493663	0.63178	
0.254199	0.0332128	0.636261	
