0.449315046	0	0.27556305
0.236225825	0.219414084	0.408644173
0.410921651	0.185146279	0.267800419
0.447603801	0.152975022	0.273450483
0.489090118	0	0.535450282
0.404314083	0	0.592870061
0.348581583	0.157876331	0.565444721
0.359919982	0.265558401	0.400759616
0.425677035	0.234541197	0.324110864
0.457020609	0.218501131	0.338863656
0.475586827	0.206261968	0.459448334
0.421405824	0.232734	0.485217716
0.242947016	0	0.542781835
0.205084758	0	0.487795072
0.222799437	0.161743695	0.492963902
0.250883161	0.143928512	0.536013795
0.221548891	0	0.288278178
0.265015975	0	0.249148924
0.265309995	0.108428827	0.247867514
0.235737541	0.11630373	0.274414921
0.589259397	0.560734217	0.170606261
0.483673831	0.432207946	0
0.536306521	0.449403954	0.095448709
0.521754439	0.506073208	0.152859614
0.672211858	0.468925385	0
0.66688109	0.471913478	0.055327767
0.678392578	0.521343993	0.094235185
0.591304616	0.664912484	0.157987724
0.408410836	0.582079827	0.101531204
0.444149099	0.692346347	0.100490112
0.432246594	0.718685928	0
0.374521965	0.541634531	0
0.732508086	0.666648727	0.030369556
0.723413231	0.683773392	0.036807024
0.732277601	0.692256018	0
0.738929501	0.675849317	0
0	1	0.375091897
0	1	0.570686518
0.10138392	1	0.583475338
0.195080153	1	0.479513871
0.187418566	1	0.414766882
0.214715698	0.839207056	0.390047111
0.163792148	0.833767076	0.596327673
0.231885497	0.831014473	0.522133544
0.234324575	0.791689846	0.480282494
0	0.826336793	0.342152382
0.143019065	0.783316841	0.364268558
0	0.739125254	0.578501803
0	0.735575965	0.446761215
0.136927337	0.727198664	0.430119023
0.172276553	0.726502335	0.480250165
0.077240786	0.734918433	0.588371177
0.339037223	1	0.555335454
0.311000978	0.831060048	0.563797068
0.30637164	1	0.296722877
0.279960222	0.839712553	0.325293755
0.425046505	1	0.507497963
0.380833762	1	0.33624282
0.373448957	0.770571984	0.393282541
0.321359575	0.753254264	0.483902772
0.354461016	0.786465934	0.53774248
0.460266315	0.847108485	0.481454692
0.449480356	0.827251452	0.418575602
0.454308625	1	1
0.504860253	0.773944052	1
0.670672623	1	0.832697426
0.469387645	1	0.917353486
0.750893078	1	1
0.728717323	1	0.864289217
0.74911262	0.823648521	0.914747463
0.64868627	0.768328494	0.872434967
0.651006775	0.725664033	1
